,name,url
69,"Gebiedsontwikkeling en herbestemmen (van gebouwen)
                          (deeltijd)",https://minoren-han.nl/en/614-gebiedsontwikkeling-en-herbestemmen-van-gebouwen-deeltijd
70,"Gelijke kansen bevorderen met én voor mensen met een
                          lichte verstandelijke beperking",https://minoren-han.nl/en/624-gelijke-kansen-bevorderen-met-en-voor-mensen-met-een-lichte-verstandelijke-beperking
71,Ggz-agoog (deeltijd),https://minoren-han.nl/en/65-ggz-agoog-deeltijd
72,Ggz-agoog (voltijd),https://minoren-han.nl/en/64-ggz-agoog-voltijd
73,Global Awareness (full-time),https://minoren-han.nl/en/322-global-awareness-full-time
74,Global Health; Health en Community Development,https://minoren-han.nl/en/603-global-health-health-en-community-development
75,Global perspectives on human rights (full-time),https://minoren-han.nl/en/661-global-perspectives-on-human-rights-full-time
76,Happy Healthy Work Life,https://minoren-han.nl/en/380-happy-healthy-work-life
77,Health & Performance @Work,https://minoren-han.nl/en/658-health-performance-work
78,Health Professionals in International Perspective,https://minoren-han.nl/en/288-health-professionals-in-international-perspective
79,High Care moeder en kind,https://minoren-han.nl/en/456-high-care-moeder-en-kind
80,High Care theorie,https://minoren-han.nl/en/575-high-care-theorie
81,High Care volwassene,https://minoren-han.nl/en/458-high-care-volwassene
82,HR Analytics Analyse...Advise...Act!,https://minoren-han.nl/en/391-hr-analytics-analyse-advise-act
83,"Huiselijk Geweld & Kindermishandeling. Veiligheid
                          vergroten achter en voor de voordeur (deeltijd)",https://minoren-han.nl/en/619-huiselijk-geweld-kindermishandeling-veiligheid-vergroten-achter-en-voor-de-voordeur-deeltijd
84,"Huiselijk Geweld & Kindermishandeling. Veiligheid
                          vergroten achter en voor de voordeur (voltijd)",https://minoren-han.nl/en/634-huiselijk-geweld-kindermishandeling-veiligheid-vergroten-achter-en-voor-de-voordeur-voltijd
85,Ieder kind uniek,https://minoren-han.nl/en/590-ieder-kind-uniek
86,Innovatie in Zorg & Welzijn,https://minoren-han.nl/en/665-innovatie-in-zorg-welzijn
87,"Instrumental Analyses of Micro and Macro
                          components",https://minoren-han.nl/en/559-instrumental-analyses-of-micro-and-macro-components
88,"Instrumentele Analyse van Micro- en
                          Macrocomponenten",https://minoren-han.nl/en/560-instrumentele-analyse-van-micro-en-macrocomponenten
89,"Interactie tussen Mens, Plant en Microorganisme A1",https://minoren-han.nl/en/555-interactie-tussen-mens-plant-en-microorganisme-a1
90,"Interactie tussen Mens, Plant en Microorganisme A2",https://minoren-han.nl/en/556-interactie-tussen-mens-plant-en-microorganisme-a2
91,"Interaction between Human, Plant and Microorganism
                          A1",https://minoren-han.nl/en/557-interaction-between-human-plant-and-microorganism-a1
